SiteName,Parameters,AQS ID,StreetAddress,City,County,ZipCode,Latitude(NAD83), Longitude(NAD83),Elevation(ft),Elevation(m),LocationSetting,NearestRoad,TrafficCount(2013),DistancefromNearestRoadmeters,CBSA_MSA,Notes,Active
Oldtown,"PM2.5 FRM, PM2.5 FEM BAM,CO,NO,NO2,NOx,TOXICS, NEPHELOMETER",245100040,"Oldtown Fire Station, 1100 Hillen St.",Baltimore City,Baltimore City,21202,39.297728,-76.604615,39,11.8872,Urban and Center City,Hillen St.,12392,7,Baltimore-Towson,,Y
Padonia,"OZONE,PM2.5 FRM,MET",240051007,"Padonia E.S.,  9834 Greenside Dr.",Cockeysville,Baltimore County,21030,39.460445,-76.633506,370,112.776,Suburban,Greenside Dr.,1841,46,Baltimore-Towson,,Y
PG Equestrian Center,"OZONE,PM2.5 FRM,MET",240338003,14900 Pennsylvania Ave.,Greater Upper Marlboro,Prince George?s,20772,38.81194,-76.74417,,0,Rural,Pennsylvania Ave.,52980,191,Washington-Arlington-Alexandria,,Y
Piney Run,"OZONE,PM2.5 FEM BAM,PM10 BAM,PMcoarse,NO,NO-NOy,NOy,COt,SO2t,SO4,PROFILER,MET,OCEC,IMPROVE",240230002,"Frostburg Reservoir, Finzel",Frostburg,Garrett ,21532,39.70595,-79.012,,0,Rural,Piney Run Rd.,1900,1141,NA,,Y
Piney Marcellus,,,,,,,39.70592,-79.01203,,0,,,,,NA,,N
NETL Marcellus,,,,,,,39.379197,-79.387905,,0,,,,,NA,,N
Riviera Beach,SO2,240032002,Riviera Beach Elem Sch,Pasadena,Anne Arundel,21122,39.158883,-76.511367,34,10.3632,Suburban,Jenkins Rd,,1,Baltimore-Towson,,Y
Rockville,"OZONE,PM2.5 FEM BAM,MET",240313001,"L.E. Smith Env. Educ. Ctr, 5110 Meadowside Ln.",Rockville,Montgomery,20855,39.114313,-77.106876,,0,Rural,Meadowside Ln.,16981,77,Washington-Arlington-Alexandria,,Y
South Carroll,"OZONE, MET",240130001,South Carroll H.S. 1300 W Old Liberty Rd.,Sykesville,Carroll,21784,39.444288,-77.042259,740,225.552,Rural,Old Liberty Rd.,9473,248,Baltimore-Towson,,Y
Southern Maryland,OZONE,240170010,14320 Oaks Rd.,Charlotte Hall,Charles,20622,38.508547,-76.811864,,,Rural,Access Rd.,5100,16,Washington-Arlington-Alexandria,,Y
Tolchester Beach,OZONE,,,,,,39.213436,-76.244491,5,1.524,,,,,,,N
Moran,SO2,240018881,"Rock Street, SW",Westernport,Allegany,21562,39.4864,-79.0638,,,Rural,Rock Street,,1,"Cumberland, MD-WV",,Y
Horse Rock,SO2,240018882,Horse Rock Road,Westernport,Allegany,21562,39.483617,-79.026383,,,Rural,Minnetonka,,1,"Cumberland, MD-WV",,Y
Bean,SO2,540578883,Old WV 46,"Keyser, WV",Mineral,26726,39.4452,-79.0691,,,Rural,Hampshire Hill,,1,"Cumberland, MD-WV",,Y
Assateague Island NS,OZONE,240471001,,,,,38.25,-75.16,,,,,,,,,N
Guilford,OZONE,245100018,,,,,,,,,,,,,,1990-95,N
Clifton Park,OZONE,245100050,,,,,,,,,,,,,,1997,N
Living Classroom,OZONE,245100051,,,,,,,,,,,,,,1999,N
Wineow Street,OZONE,240010006,,,,,,,,,,,,,,1990-91,N
Fort Meade,OZONE,240030019,,,,,,,,,,,,,,1990-2004,N
Garrison,OZONE,240050003,,,,,,,,,,,,,,1990-91,N
Prince Frederick/Calvert,OZONE,240090010,,,,,,,,,,,,,,1998-2001,N
Greenbelt,OZONE,240330002,,,,,,,,,,,,,,1990-2003,N
Suitland,OZONE,240338001,,,,,,,,,,,,,,1990-2003,N
